Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Census Year Code,Census Year,Unit,Y1930,Y1930F,Y1930N,Y1950,Y1950F,Y1950N,Y1960,Y1960F,Y1960N,Y1970,Y1970F,Y1970N,Y1980,Y1980F,Y1980N,Y1990,Y1990F,Y1990N,Y2000,Y2000F,Y2000N,Y2010,Y2010F,Y2010N,Y2020,Y2020F,Y2020N
"2","'004","Afghanistan","27002","Holdings","60850","Number","200203","2002/03","No",,,,,,,,,,,,,,,,,,,"3044670.000000","A","The enumeration unit was the Livestock Household",,,,,,
"3","'008","Albania","27002","Holdings","50260","Area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"1889498.000000","A","Techno-economic units involved in agricultural, livestock or forestry production, regadless to size of holding, under single management exercised by one or more physical persons or by a juridical person. Holdings totally abandoned, livestock or fruit-trees located around private buildings in the cities, holdings not using their land for agricultural, livestock or forestry purposes, were excluded from the census.",,,,,,
"3","'008","Albania","27002","Holdings","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"371609.000000","A","The agricultural holdings with farming area used as kitchen gardens smaller than 200 m2; units made up only of forests, ornamental parks or gardens, land not used for agricultural purposes, or abanoned land; and pultry hatcheries, if operated without further breeding, were not covered.",,,
"3","'008","Albania","27002","Holdings","5017","Average area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"4.050000","E",,,,,,,
"3","'008","Albania","27002","Holdings","5017","Average area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"1.160000","E",,,,
"3","'008","Albania","27002","Holdings","60850","Number","1995","1995","No",,,,,,,,,,,,,,,,"444300.000000","A","Farms controlling agricultural land, whether or not crops were planted on this land during 1995. Farms reporting livestock only, and growers of specialty crops (e.g. greenhouses operators) were not included.",,,,,,,,,
"3","'008","Albania","27002","Holdings","60850","Number","1998","1998","No",,,,,,,,,,,,,,,,,,,"466809.000000","A","Techno-economic units involved in agricultural, livestock or forestry production, regadless to size of holding, under single management exercised by one or more physical persons or by a juridical person. Holdings totally abandoned, livestock or fruit-trees located around private buildings in the cities, holdings not using their land for agricultural, livestock or forestry purposes, were excluded from the census.",,,,,,
"3","'008","Albania","27002","Holdings","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"321492.000000","A","The agricultural holdings with farming area used as kitchen gardens smaller than 200 m2; units made up only of forests, ornamental parks or gardens, land not used for agricultural purposes, or abanoned land; and pultry hatcheries, if operated without further breeding, were not covered.",,,
"3","'008","Albania","270030","Holdings with land size 0-<1","50260","Area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"128508.000000","A",,,,,,,
"3","'008","Albania","270030","Holdings with land size 0-<1","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"99758.000000","A",,,,
"3","'008","Albania","270030","Holdings with land size 0-<1","60850","Number","1995","1995","No",,,,,,,,,,,,,,,,"274000.000000","A","Land under crops",,,,,,,,,
"3","'008","Albania","270030","Holdings with land size 0-<1","60850","Number","1998","1998","No",,,,,,,,,,,,,,,,,,,"279793.000000","A",,,,,,,
"3","'008","Albania","270030","Holdings with land size 0-<1","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"215034.000000","A",,,,
"3","'008","Albania","270031","Holdings with land size 1-<2","50260","Area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"198921.000000","A",,,,,,,
"3","'008","Albania","270031","Holdings with land size 1-<2","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"109987.000000","A",,,,
"3","'008","Albania","270031","Holdings with land size 1-<2","60850","Number","1995","1995","No",,,,,,,,,,,,,,,,"170300.000000","A","Land under crops",,,,,,,,,
"3","'008","Albania","270031","Holdings with land size 1-<2","60850","Number","1998","1998","No",,,,,,,,,,,,,,,,,,,"140377.000000","A",,,,,,,
"3","'008","Albania","270031","Holdings with land size 1-<2","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"76550.000000","A",,,,
"3","'008","Albania","270032","Holdings with land size 2-<3","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"48544.000000","A",,,,
"3","'008","Albania","270032","Holdings with land size 2-<3","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"20073.000000","A",,,,
"3","'008","Albania","270033","Holdings with land size 2-<5","50260","Area","1998","1998","ha",,,,,,,,,,,,,,,,,,,"1562069.000000","A",,,,,,,
"3","'008","Albania","270033","Holdings with land size 2-<5","60850","Number","1998","1998","No",,,,,,,,,,,,,,,,,,,"46639.000000","A",,,,,,,
"3","'008","Albania","270034","Holdings with land size 3-<4","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"13375.000000","E","Interpolated data",,,
"3","'008","Albania","270034","Holdings with land size 3-<4","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"3514.000000","E","Interpolated data",,,
"3","'008","Albania","270035","Holdings with land size 4-<5","50260","Area","2012","2012","ha",,,,,,,,,,,,,,,,,,,,,,"10603.000000","E","Interpolated data",,,
"3","'008","Albania","270035","Holdings with land size 4-<5","60850","Number","2012","2012","No",,,,,,,,,,,,,,,,,,,,,,"2785.000000","E","Interpolated data",,,
